Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
Renault,Symbol,2020,Saudi,White,Standard,1.6,Gas,Automatic,Used,46505,Riyadh,26000,FALSE
Renault,Fluence,2015,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,116633,Riyadh,25500,FALSE
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,90418,Riyadh,25500,FALSE
Mazda,6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,Used,129000,Riyadh,65000,FALSE
Hyundai,Elantra,2014,Saudi,Grey,Full,2,Gas,Automatic,Used,119000,Riyadh,33000,FALSE
Honda,Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,Used,173000,Riyadh,68000,FALSE
MG,RX5,2018,Saudi,White,Full,3,Gas,Automatic,Used,109000,Riyadh,49000,FALSE
Toyota,Land Cruiser,2012,Saudi,Grey,Full,1,Gas,Automatic,Used,448000,Riyadh,109000,FALSE
Ford,Taurus,2016,Saudi,Another Color,Standard,3.5,Gas,Automatic,Used,136000,Riyadh,58000,FALSE
Genesis,G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,98000,FALSE
Toyota,FJ,2015,Saudi,White,Full,4,Gas,Automatic,Used,259880,Riyadh,89000,FALSE
Kia,Cadenza,2019,Saudi,Brown,Standard,3.3,Gas,Automatic,Used,73000,Riyadh,65000,FALSE
GMC,Yukon,2011,Saudi,Silver,Semi Full,1,Gas,Automatic,Used,600000,Riyadh,36000,FALSE
MG,ZS,2020,Saudi,Blue,Standard,1.5,Gas,Automatic,Used,9300,Taef,Negotiable,TRUE
Hyundai,Kona,2019,Saudi,Grey,Full,1,Gas,Automatic,Used,22000,Riyadh,77000,FALSE
Toyota,Avalon,2016,Other,White,Semi Full,3.5,Gas,Automatic,Used,123000,Riyadh,93000,FALSE
Dodge,Charger,2018,Saudi,Red,Standard,3.6,Gas,Automatic,Used,79000,Riyadh,79000,FALSE
Hyundai,Senta fe,2016,Saudi,Brown,Semi Full,3.3,Gas,Automatic,Used,126000,Riyadh,63000,FALSE
Toyota,FJ,2013,Saudi,Bronze,Semi Full,1,Gas,Automatic,Used,154000,Riyadh,77000,FALSE
Chrysler,C300,2017,Saudi,Grey,Full,5.7,Gas,Automatic,Used,130000,Riyadh,88000,FALSE
Kia,Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,Used,40000,Riyadh,55000,FALSE
Hyundai,Azera,2016,Saudi,White,Semi Full,3,Gas,Automatic,Used,130000,Riyadh,50000,FALSE
Suzuki,APV,2016,Saudi,Black,Standard,1.5,Gas,Manual,Used,110000,Riyadh,29500,FALSE
Honda,Accord,2016,Saudi,Brown,Full,1,Gas,Automatic,Used,116000,Riyadh,62000,FALSE
Peugeot,3008,2018,Saudi,Brown,Full,1,Gas,Automatic,Used,30000,Riyadh,79000,FALSE
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,Used,145000,Riyadh,63000,FALSE
Cadillac,SRX,2016,Saudi,Black,Full,,Gas,Automatic,Used,83000,Riyadh,70000,FALSE
Kia,Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,Used,43629,Jeddah,43500,FALSE
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,106036,Riyadh,25900,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,104688,Riyadh,26000,FALSE
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,86754,Riyadh,26000,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,105509,Riyadh,26000,FALSE
Chevrolet,Traverse,2017,Saudi,Silver,Semi Full,2.4,Gas,Automatic,Used,110000,Riyadh,49000,FALSE
Honda,Accord,2017,Saudi,White,Standard,1,Gas,Automatic,Used,63000,Riyadh,88000,FALSE
Genesis,G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,Used,183000,Riyadh,85000,FALSE
Ford,Marquis,2010,Saudi,Blue,Standard,,Gas,Automatic,Used,290,Taef,Negotiable,TRUE
Honda,Accord,2012,Saudi,White,Standard,1,Gas,Automatic,Used,251000,Riyadh,38000,FALSE
Hyundai,Sonata,2018,Saudi,Red,Standard,2.5,Gas,Automatic,Used,63000,Riyadh,58000,FALSE
Kia,Optima,2016,Saudi,Black,Semi Full,2.4,Gas,Automatic,Used,91000,Riyadh,45000,FALSE
Toyota,Innova,2017,Saudi,White,Full,,Gas,Automatic,Used,180000,Makkah,Negotiable,TRUE
Hyundai,Sonata,2018,Saudi,Brown,Standard,1,Gas,Automatic,Used,130000,Riyadh,50000,FALSE
GMC,Sierra,2011,Other,Silver,Semi Full,,Gas,Automatic,Used,258000,Riyadh,50000,FALSE
Honda,Accord,2017,Saudi,Grey,Semi Full,1,Gas,Automatic,Used,126000,Riyadh,75000,FALSE
Mercedes,S,2007,Saudi,Black,Full,3.5,Gas,Automatic,Used,243000,Riyadh,45000,FALSE
Ford,F150,2012,Saudi,Black,Standard,3,Gas,Automatic,Used,352000,Riyadh,38000,FALSE
Toyota,Land Cruiser,2003,Saudi,Golden,Full,,Gas,Automatic,Used,629000,Riyadh,40000,FALSE
Nissan,Maxima,2017,Saudi,White,Full,1,Gas,Automatic,Used,135000,Riyadh,73000,FALSE
Toyota,Land Cruiser,2014,Saudi,White,Full,4,Gas,Automatic,Used,210600,Riyadh,120000,FALSE
Hyundai,Sonata,2016,Saudi,Brown,Full,2,Gas,Automatic,Used,104000,Riyadh,58000,FALSE
Ford,Explorer,2016,Gulf Arabic,Silver,Semi Full,,Gas,Automatic,Used,112000,Riyadh,83000,FALSE
Hyundai,Genesis,2017,Other,Blue,Standard,3.8,Gas,Automatic,Used,128000,Riyadh,83000,FALSE
Toyota,Corolla,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,370000,Riyadh,30000,FALSE
Honda,Accord,2017,Saudi,Navy,Semi Full,2.4,Gas,Automatic,Used,223000,Riyadh,75000,FALSE
Kia,Cerato,2017,Saudi,White,Standard,1.6,Gas,Automatic,Used,72000,Riyadh,37500,FALSE
Ford,Taurus,2018,Saudi,White,Standard,2,Gas,Automatic,Used,71000,Riyadh,77000,FALSE
Lexus,NX,2017,Gulf Arabic,Black,Full,2,Gas,Automatic,Used,63000,Dammam,174000,FALSE
Hyundai,Elantra,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,Used,59700,Dammam,54500,FALSE
Hyundai,Senta fe,2020,Saudi,Grey,Standard,2.4,Gas,Automatic,Used,93000,Riyadh,82000,FALSE
Mercedes,C,2015,Saudi,Silver,Semi Full,2,Gas,Automatic,Used,73000,Riyadh,90000,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,96341,Riyadh,26000,FALSE
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,87775,Riyadh,26000,FALSE
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,89136,Riyadh,26000,FALSE
